N,scenario,method,rmse_omega_mean,objective_evals_mean,runtime_ms_mean,method_family
64,S2_Gappy,B1,0.20716579247540037,201.0,33.09887498617172,engine
64,S2_Gappy,B2,8.35798152386296e+157,201.0,32.8123738989234,engine
64,S2_Gappy,BL_LM_PT,0.19091437529552324,201.0,34.3037074431777,baseline
64,S2_Gappy,BL_LM_RAW,0.20314442635028995,201.0,31.10478362068534,baseline
64,S2_Gappy,P0,0.19091436691315117,201.0,36.389824375510216,engine
64,S3_Hetero,B1,0.19884256226132468,201.0,32.37729696556926,engine
64,S3_Hetero,B2,6.946107965466047e+241,201.0,32.355603761971,engine
64,S3_Hetero,BL_LM_PT,0.19015786806877338,201.0,33.78020590171218,baseline
64,S3_Hetero,BL_LM_RAW,0.1993581832524721,201.0,30.431342218071222,baseline
64,S3_Hetero,P0,0.19015786324148007,201.0,35.512893460690975,engine
64,S_PT_z0,B1,0.20608019908904956,201.0,32.172276359051466,engine
64,S_PT_z0,B2,1.0293811281800287e+213,201.0,32.15396823361516,engine
64,S_PT_z0,BL_LM_PT,0.19198266254298602,201.0,33.358738385140896,baseline
64,S_PT_z0,BL_LM_RAW,0.20159504705854148,201.0,30.675870552659035,baseline
64,S_PT_z0,P0,0.19198265611066154,201.0,35.06711320951581,engine
128,S2_Gappy,B1,0.20381790371711522,201.0,38.911213260143995,engine
128,S2_Gappy,B2,1.0774819487287232e+265,201.0,42.301918007433414,engine
128,S2_Gappy,BL_LM_PT,0.20486450426917696,201.0,39.66778935864568,baseline
128,S2_Gappy,BL_LM_RAW,0.20187101314710731,201.0,36.15140877664089,baseline
128,S2_Gappy,P0,0.20486450228175296,201.0,41.20875149965286,engine
128,S3_Hetero,B1,0.20195417538873633,201.0,38.36510721594095,engine
128,S3_Hetero,B2,nan,20.1,63.01194066181779,engine
128,S3_Hetero,BL_LM_PT,0.20551147699059946,201.0,41.01317040622234,baseline
128,S3_Hetero,BL_LM_RAW,0.2002797393046861,201.0,36.70209003612399,baseline
128,S3_Hetero,P0,0.20551147573319195,201.0,42.482088692486286,engine
128,S_PT_z0,B1,0.2042240470240472,201.0,38.325845543295145,engine
128,S_PT_z0,B2,nan,100.5,56.1854612082243,unknown
128,S_PT_z0,BL_LM_PT,0.20518150752415315,201.0,39.90454860031605,baseline
128,S_PT_z0,BL_LM_RAW,0.2012211753097244,201.0,36.35418517515063,baseline
128,S_PT_z0,P0,0.20518150592632325,201.0,41.46690620109439,engine
256,S2_Gappy,B1,0.20076690546076698,201.0,46.11240494996309,engine
256,S2_Gappy,B2,nan,40.2,79.09941812977195,unknown
256,S2_Gappy,BL_LM_PT,0.19469204457768888,201.0,48.829000256955624,baseline
256,S2_Gappy,BL_LM_RAW,0.2004190732642881,201.0,44.63928826153278,baseline
256,S2_Gappy,P0,0.19469204427915396,201.0,50.33681392669678,engine
256,S3_Hetero,B1,0.20016055983756398,201.0,45.69622091948986,engine
256,S3_Hetero,B2,nan,0.0,76.95058770477772,unknown
256,S3_Hetero,BL_LM_PT,0.1930330458798498,201.0,48.30581797286868,baseline
256,S3_Hetero,BL_LM_RAW,0.20018085146988937,201.0,43.982226960361004,baseline
256,S3_Hetero,P0,0.19303304568431284,201.0,49.66475199908018,engine
256,S_PT_z0,B1,0.20073189554162374,201.0,45.66872725263238,engine
256,S_PT_z0,B2,nan,0.0,78.29760909080505,unknown
256,S_PT_z0,BL_LM_PT,0.19457207695508513,201.0,48.4641551040113,baseline
256,S_PT_z0,BL_LM_RAW,0.20020430990097604,201.0,43.99894056841731,baseline
256,S_PT_z0,P0,0.19457207673846239,201.0,49.86271010711789,engine
512,S2_Gappy,B1,0.19978350393811944,201.0,65.49564087763429,engine
512,S2_Gappy,B2,nan,20.1,109.99608905985951,engine
512,S2_Gappy,BL_LM_PT,0.19779352362907499,201.0,68.39048098772764,baseline
512,S2_Gappy,BL_LM_RAW,0.1999224953983122,201.0,63.339012768119574,baseline
512,S2_Gappy,P0,0.19779352350997761,201.0,69.68544200062752,engine
512,S3_Hetero,B1,0.20011161320600124,201.0,64.55309335142374,engine
512,S3_Hetero,B2,nan,0.0,104.28327545523643,unknown
512,S3_Hetero,BL_LM_PT,0.1972615108982334,201.0,68.17970899865031,baseline
512,S3_Hetero,BL_LM_RAW,0.20000829774534662,201.0,62.81886734068394,baseline
512,S3_Hetero,P0,0.19726151079939544,201.0,69.6202133782208,engine
512,S_PT_z0,B1,0.2001638516731708,201.0,64.50496446341276,engine
512,S_PT_z0,B2,nan,0.0,105.96188688650727,unknown
512,S_PT_z0,BL_LM_PT,0.19783285729215966,201.0,68.53173710405827,baseline
512,S_PT_z0,BL_LM_RAW,0.20003267040281786,201.0,62.950622756034136,baseline
512,S_PT_z0,P0,0.19783285721462884,201.0,70.15426745638251,engine
