scenario,method,objective_mode,mean_rmse_tau,ci95_rmse_tau_low,ci95_rmse_tau_high,mean_rmse_omega,ci95_rmse_omega_low,ci95_rmse_omega_high,mean_abs_z_drift,ci95_abs_z_drift_low,ci95_abs_z_drift_high,mean_leakage_final,ci95_leakage_final_low,ci95_leakage_final_high,loss_final_median,rmse_tau_median,rmse_omega_median,abs_z_drift_median,leakage_final_median,loss_final_iqr,rmse_tau_iqr,rmse_omega_iqr,abs_z_drift_iqr,leakage_final_iqr,diverge_rate
S1_Ideal,B1,as_designed,0.1967416079105201,0.15347924823277578,0.25899006153054555,0.2063442077370523,0.2023604829838598,0.20972548830176174,31059718.731396787,20131606.4302647,43842932.86540793,1.8163738068711677,1.5377017453634492,2.0892006795189997,5.199566455788304e+16,0.18344835088020855,0.20693548097940145,28249780.96394404,1.8381569058878537,7.625579952318605e+16,0.06587137514437336,0.0062517519411059985,24590509.868913762,0.5527757454628572,0.0
S1_Ideal,B2,as_designed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
S1_Ideal,P0,as_designed,0.037189685356862054,0.025738354378287222,0.05102395840888801,0.18241522520150807,0.18053346634506376,0.18436329769813406,0.05296411711673941,0.0388441763565456,0.06676046428298686,2.7109800161526727,2.6002113456974385,2.830415162787238,15.195297256319535,0.02770114515523152,0.18180456176212922,0.04685154245412333,2.7042312128115435,5.505025420704046,0.029374842117724932,0.004707099519567187,0.022984438779366012,0.1860918951452044,0.0
S2_Gappy,B1,as_designed,0.2394905028726245,0.1428467070592953,0.35450544556030555,0.20752532494538117,0.20044614407131853,0.21436001533510204,32153451.22714551,23931247.633744523,41100326.96257473,1.100121288994186,0.7608090634853204,1.488747572346412,2.5770789801470508e+16,0.16551268523508497,0.2091278052049692,26338011.085286707,0.9848825207084235,5.4303570725797096e+16,0.27300991837188615,0.014022297095661052,21701075.31250428,1.0822857964657884,0.0
S2_Gappy,B2,as_designed,1.990440389543975e+290,9.29440626195919e+264,5.971321168624903e+290,2.719504976423908e+274,1.1857226000983114e+250,8.15851492917181e+274,4.305806551529299e+145,1.5319891935572962e+133,1.2917409085606858e+146,1.0345444745249008,0.9655993734202128,1.105124270982585,8.130885718689921e+267,5.593261640547602e+264,6.21317772491713e+249,1.469772463134742e+133,1.0336494640518539,5.0521520296739436e+272,3.2503495426874202e+268,6.156790152963009e+254,3.2046852024415404e+135,0.20181906220989365,0.0
S2_Gappy,P0,as_designed,0.049920195279641214,0.035917205974931275,0.06524142059675277,0.18209273163926265,0.17848491004761782,0.1860471981536,0.5117976623339134,0.28772479927898814,0.7392026289355165,3.012124668694745,2.8043625172719957,3.2531190688067766,9.006574737656075,0.04147631387576531,0.1813604876134574,0.3957615744548294,2.884605663609931,2.160779507627697,0.02436869963410427,0.007782925714717254,0.45595523646566916,0.48690176110307615,0.0
S3_Hetero,B1,as_designed,0.26836048976663834,0.227008339758567,0.3196585467446603,0.19884619307002513,0.19233219449275307,0.2037436839683803,28690147.352506258,19226972.025895484,38236565.85946872,1.5997380734630555,1.2348785135196214,1.9637063561901493,4.791660380559941e+16,0.24356994201735324,0.20109444707160878,26517018.348878607,1.596046536500177,8.179986538318118e+16,0.06952686695054439,0.005781591957658955,21396476.323816083,0.5770671714710065,0.0
S3_Hetero,B2,as_designed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
S3_Hetero,P0,as_designed,0.048393824187339174,0.03231045890553076,0.06385777960956664,0.18031658525368818,0.1782484087244501,0.18216886866248533,0.6674279393415181,0.41715417900489965,0.9361414708880178,3.152405918346318,2.853891110643434,3.4864613421586363,20.001898996532468,0.04365312468252383,0.18113496457838385,0.6407731591511113,3.010837250807459,7.092234659125232,0.03990229857785124,0.003926712397989002,0.6341886146520148,0.7658325457605897,0.0
S_PT_z0,B1,as_designed,0.19674160791052006,0.15347924823277578,0.25899006153054555,0.2063442077370523,0.2023604829838598,0.20972548830176174,31059718.731396783,20131606.43026471,43842932.86540792,1.8163738068711672,1.5377017453634487,2.0892006795189992,5.199566455788302e+16,0.18344835088020855,0.20693548097940145,28249780.96394404,1.8381569058878537,7.625579952318618e+16,0.06587137514437336,0.0062517519411059985,24590509.868913792,0.5527757454628575,0.0
S_PT_z0,B2,as_designed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
